bloc,traitement,engrais,projet,annee,site,date_semis,date_repiquage,sem_repiq,period_repiq,date_fert_1,sem_fert1,period_fert1,date_1,sem_d1,period_d1,haut1,feuil1,diam1,date_2,sem_d2,period_d2,haut2,feuil2,diam2,date_fert_2,sem_fert2,period_fert2,date_3,sem_d3,period_d3,haut3,feuil3,diam3,date_4,sem_d4,period_d4,haut4,feuil4,diam4,date_5,sem_d5,period_d5,nb_plants_5,nfleurs_5_m2,nfruits_5_m2,date_6,sem_d6,period_d6,nb_plants_6,nfleurs_6_m2,nfruits_6_m2,date_7,sem_d7,period_d7,nb_plants_7,nfleurs_7_m2,nfruits_7_m2,date_recolte_1,sem_re1,period_re1,date_recolte_2,date_recolte_3,sem_re3,period_re3,nfruits_re_m2,rdt_kghac,rdt_kgha,rdt_tha
1,T0,Temoin,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,13.14,5.86,3.23,2021-02-08,5,Sem AR,18,6.43,4.22,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,22.64,7.29,4.63,2021-02-22,7,Sem AR,26.21,8.57,4.91,2021-02-25,7.43,Sem AR,6,26.67,0.67,2021-03-04,8.43,Sem AR,4,25,1,2021-03-11,9.43,Sem AR,4,24,14,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,2,233,233,0.23
1,T1,Fumier porcs,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,16.13,8.38,4.24,2021-02-08,5,Sem AR,31.19,11.88,5.84,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,34.79,14.14,6.31,2021-02-22,7,Sem AR,40.86,14,6.61,2021-02-25,7.43,Sem AR,8,74.5,13.5,2021-03-04,8.43,Sem AR,6,77.33,24,2021-03-11,9.43,Sem AR,5,60.8,40.8,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,6.4,902.4,902.4,0.9
1,T2,Fumier poulets,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,12.44,6.25,3.29,2021-02-08,5,Sem AR,22.5,8.43,5.06,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,26.79,10.43,5.78,2021-02-22,7,Sem AR,33.21,13.14,6.31,2021-02-25,7.43,Sem AR,7,76,6.86,2021-03-04,8.43,Sem AR,7,70.29,12.57,2021-03-11,9.43,Sem AR,6,75.33,24.67,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,6,1694.67,1694.67,1.69
1,T3,Engrais mineral,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,20.57,7.86,4.72,2021-02-08,5,Sem AR,32.29,11.57,6.24,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,36.36,10.14,7.36,2021-02-22,7,Sem AR,44.63,12.75,8.52,2021-02-25,7.43,Sem AR,5,52.8,10.4,2021-03-04,8.43,Sem AR,3,58.67,21.33,2021-03-11,9.43,Sem AR,3,36,28,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,6.67,732,732,0.73
1,T4,50% FPorcs + 50% Eng. Min.,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,23.29,8.57,4.77,2021-02-08,5,Sem AR,35.64,10.43,6.34,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,39.36,10.43,7.53,2021-02-22,7,Sem AR,43.58,11.33,7.79,2021-02-25,7.43,Sem AR,7,64.57,8.57,2021-03-04,8.43,Sem AR,4,72,23,2021-03-11,9.43,Sem AR,4,55,28,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,7,911,911,0.91
1,T5,50% FPoulets + 50% Eng. Min.,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,16.14,8.29,3.84,2021-02-08,5,Sem AR,27.29,10,5.65,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,33.71,11.57,6.75,2021-02-22,7,Sem AR,36.93,12.14,7.04,2021-02-25,7.43,Sem AR,7,69.71,8.57,2021-03-04,8.43,Sem AR,5,83.2,18.4,2021-03-11,9.43,Sem AR,5,64,20.8,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,5.6,1089.6,1089.6,1.09
2,T0,Temoin,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,19.69,8.38,4.93,2021-02-08,5,Sem AR,30.19,11,5.61,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,31.63,10,6.03,2021-02-22,7,Sem AR,36.3,10.8,5.96,2021-02-25,7.43,Sem AR,8,55.5,3.5,2021-03-04,8.43,Sem AR,5,56,11.2,2021-03-11,9.43,Sem AR,5,45.6,16.8,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,4,628,628,0.63
2,T1,Fumier porcs,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,21.88,8.25,5.73,2021-02-08,5,Sem AR,33.36,9.86,7.27,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,37.5,9.57,7.35,2021-02-22,7,Sem AR,42.2,9.8,7.89,2021-02-25,7.43,Sem AR,6,54.67,7.33,2021-03-04,8.43,Sem AR,4,67,17,2021-03-11,9.43,Sem AR,4,48,26,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,4,580,580,0.58
2,T2,Fumier poulets,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,23.57,9.14,4.89,2021-02-08,5,Sem AR,36.14,10.57,6.35,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,41.86,11.43,7.47,2021-02-22,7,Sem AR,43.43,10.86,7.55,2021-02-25,7.43,Sem AR,8,62,5,2021-03-04,8.43,Sem AR,6,60,11.33,2021-03-11,9.43,Sem AR,6,74,21.33,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,4.67,844.67,844.67,0.84
2,T3,Engrais mineral,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1,Sem AR,2021-01-25,3,Sem AR,23.86,8.29,4.89,2021-02-08,5,Sem AR,29.75,7.83,6.09,2021-02-10,5.29,Sem AR,2021-02-15,6,Sem AR,28.67,7.83,6.63,2021-02-22,7,Sem AR,37.1,13,6.83,2021-02-25,7.43,Sem AR,7,41.14,4,2021-03-04,8.43,Sem AR,5,45.6,14.4,2021-03-11,9.43,Sem AR,5,72,17.6,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,1.6,256.8,256.8,0.26
