bloc,traitement,traite,plant,projet,annee,site,date_semis,date_repiquage,sem_repiq,period_repiq,date_fert_1,sem_fert1,period_fert1,date_1,sem_d1,period_d1,haut1,feuil1,diam4,date_2,sem_d2,period_d2,haut2,feuil2,diam2,date_fert_2,sem_fert2,period_fert2,date_3,sem_d3,period_d3,haut3,feuil3,diam3,date_4,sem_d4,period_d4,haut4,feuil4,diam4,date_5,sem_d5,period_d5,nb_plants_5,nfleurs_5_m2,nfruits_5_m2,date_6,sem_d6,period_d6,nb_plants_6,nfleurs_6_m2,nfruits_6_m2,date_7,sem_d7,period_d7,nb_plants_7,nfleurs_7_m2,nfruits_7_m2,date_recolte_1,sem_re1,period_re1,date_recolte_2,date_recolte_3,sem_re3,period_re3,nfruits_re_m2,rdt_kghac,rdt_kgha,rdt_tha
1,T0,Temoin,plant 1,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,12.00,6.00,3.60,2021-02-08,5.00,Sem AR,18.00,7.00,5.00,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,22.00,8.00,6.10,2021-02-22,7.00,Sem AR,24.50,9.00,6.48,2021-02-25,7.43,Sem AR,6,26.67,0.67,2021-03-04,8.43,Sem AR,4,25.00,1.00,2021-03-11,9.43,Sem AR,4,24.00,14.00,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,2.00,233.00,233.00,0.23
1,T0,Temoin,plant 3,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,15.00,5.50,3.27,2021-02-08,5.00,Sem AR,18.75,6.50,3.76,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,26.50,8.00,4.15,2021-02-22,7.00,Sem AR,27.75,8.50,4.30,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T0,Temoin,plant 5,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,13.25,6.50,3.27,2021-02-08,5.00,Sem AR,21.50,8.50,5.15,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,27.00,9.00,5.25,2021-02-22,7.00,Sem AR,33.00,10.00,5.55,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T0,Temoin,plant 7,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,11.75,5.50,2.95,2021-02-08,5.00,Sem AR,13.75,4.00,3.37,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,14.75,4.50,3.75,2021-02-22,7.00,Sem AR,18.75,7.00,4.10,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T1,Fumier porcs,plant 1,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,19.00,9.00,3.97,2021-02-08,5.00,Sem AR,35.00,12.50,6.60,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,38.50,13.00,7.00,2021-02-22,7.00,Sem AR,44.00,14.50,7.12,2021-02-25,7.43,Sem AR,8,74.50,13.50,2021-03-04,8.43,Sem AR,6,77.33,24.00,2021-03-11,9.43,Sem AR,5,60.80,40.80,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,6.40,902.40,902.40,0.90
1,T1,Fumier porcs,plant 3,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,13.50,7.00,4.44,2021-02-08,5.00,Sem AR,27.00,11.00,5.50,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,28.00,12.00,5.50,2021-02-22,7.00,Sem AR,35.75,12.50,6.00,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T1,Fumier porcs,plant 5,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,16.50,9.00,4.46,2021-02-08,5.00,Sem AR,32.25,14.00,5.50,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,40.00,19.00,6.00,2021-02-22,7.00,Sem AR,43.00,18.00,6.48,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T1,Fumier porcs,plant 7,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,15.50,8.50,4.08,2021-02-08,5.00,Sem AR,30.50,10.00,5.75,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,35.25,15.00,6.60,2021-02-22,7.00,Sem AR,41.75,13.00,6.76,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T2,Fumier poulets,plant 1,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,13.00,6.50,3.66,2021-02-08,5.00,Sem AR,26.50,10.00,5.38,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,32.25,11.50,6.10,2021-02-22,7.00,Sem AR,35.25,12.00,6.10,2021-02-25,7.43,Sem AR,7,76.00,6.86,2021-03-04,8.43,Sem AR,7,70.29,12.57,2021-03-11,9.43,Sem AR,6,75.33,24.67,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,6.00,1694.67,1694.67,1.69
1,T2,Fumier poulets,plant 3,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,11.50,6.50,3.00,2021-02-08,5.00,Sem AR,20.25,8.50,4.85,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,26.00,12.00,6.00,2021-02-22,7.00,Sem AR,39.25,19.50,7.50,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T2,Fumier poulets,plant 5,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,10.50,6.00,3.00,2021-02-08,5.00,Sem AR,17.50,7.00,3.76,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,18.00,7.00,4.00,2021-02-22,7.00,Sem AR,18.00,6.00,4.00,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T2,Fumier poulets,plant 7,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,14.75,6.00,3.50,2021-02-08,5.00,Sem AR,23.25,7.50,5.60,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,26.50,9.50,6.12,2021-02-22,7.00,Sem AR,32.75,11.50,6.50,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T3,Engrais mineral,plant 1,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,19.25,7.50,4.25,2021-02-08,5.00,Sem AR,23.75,9.50,4.96,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,27.00,6.50,5.50,2021-02-22,7.00,Sem AR,40.00,13.00,8.10,2021-02-25,7.43,Sem AR,5,52.80,10.40,2021-03-04,8.43,Sem AR,3,58.67,21.33,2021-03-11,9.43,Sem AR,3,36.00,28.00,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,6.67,732.00,732.00,0.73
1,T3,Engrais mineral,plant 3,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,20.75,7.50,4.65,2021-02-08,5.00,Sem AR,40.00,14.00,6.50,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,43.00,14.50,7.75,2021-02-22,7.00,Sem AR,47.50,14.00,7.68,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T3,Engrais mineral,plant 5,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,20.50,9.00,4.72,2021-02-08,5.00,Sem AR,33.50,12.00,6.28,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,35.50,11.00,8.00,2021-02-22,7.00,Sem AR,39.00,7.00,8.28,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T3,Engrais mineral,plant 7,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,21.75,8.00,5.26,2021-02-08,5.00,Sem AR,32.50,11.00,7.25,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,39.50,9.00,8.50,2021-02-22,7.00,Sem AR,52.00,17.00,10.00,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T4,"50% FPorcs,50% Eng. Min.",plant 1,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,12.00,6.50,3.38,2021-02-08,5.00,Sem AR,28.00,10.50,4.95,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,33.50,9.50,6.00,2021-02-22,7.00,Sem AR,29.00,7.00,5.20,2021-02-25,7.43,Sem AR,7,64.57,8.57,2021-03-04,8.43,Sem AR,4,72.00,23.00,2021-03-11,9.43,Sem AR,4,55.00,28.00,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,7.00,911.00,911.00,0.91
1,T4,"50% FPorcs,50% Eng. Min.",plant 3,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,36.00,12.00,6.60,2021-02-08,5.00,Sem AR,43.00,10.00,8.00,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,44.00,8.00,10.40,2021-02-22,7.00,Sem AR,44.00,13.00,8.00,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T4,"50% FPorcs,50% Eng. Min.",plant 5,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,23.00,7.50,4.50,2021-02-08,5.00,Sem AR,35.25,9.00,6.40,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,39.75,10.00,7.64,2021-02-22,7.00,Sem AR,41.50,9.00,8.12,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T4,"50% FPorcs,50% Eng. Min.",plant 7,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,28.50,10.00,5.50,2021-02-08,5.00,Sem AR,40.00,12.00,6.83,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,42.50,13.00,7.50,2021-02-22,7.00,Sem AR,52.75,15.00,8.65,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T5,"50% FPoulets,50% Eng. Min.",plant 1,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,12.50,5.50,2.98,2021-02-08,5.00,Sem AR,23.25,9.00,4.81,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,31.00,10.50,6.50,2021-02-22,7.00,Sem AR,34.25,10.50,7.10,2021-02-25,7.43,Sem AR,7,69.71,8.57,2021-03-04,8.43,Sem AR,5,83.20,18.40,2021-03-11,9.43,Sem AR,5,64.00,20.80,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,5.60,1089.60,1089.60,1.09
1,T5,"50% FPoulets,50% Eng. Min.",plant 3,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,13.50,6.00,3.44,2021-02-08,5.00,Sem AR,28.50,11.00,5.00,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,35.50,15.00,6.00,2021-02-22,7.00,Sem AR,41.00,11.00,6.28,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T5,"50% FPoulets,50% Eng. Min.",plant 5,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,19.25,10.00,4.24,2021-02-08,5.00,Sem AR,22.75,8.50,5.64,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,28.25,8.00,6.14,2021-02-22,7.00,Sem AR,30.25,12.00,6.15,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
1,T5,"50% FPoulets,50% Eng. Min.",plant 7,Stage L3 AGRI,2021,Perimetre maraicher Torgokaha,2020-12-01,2021-01-04,4.86,Sem AS,2021-01-11,1.00,Sem AR,2021-01-25,3.00,Sem AR,18.00,7.50,4.50,2021-02-08,5.00,Sem AR,35.25,12.00,6.82,2021-02-10,5.29,Sem AR,2021-02-15,6.00,Sem AR,41.00,14.50,8.00,2021-02-22,7.00,Sem AR,44.25,14.50,8.25,2021-02-25,7.43,Sem AR,,,,2021-03-04,8.43,Sem AR,,,,2021-03-11,9.43,Sem AR,,,,2021-03-11,9.43,Sem AR,2021-03-20,2021-03-27,11.71,Sem AR,,,,
