date_1,bloc,traitement,traite,plant,haut_1_cm,nb_feuil_1,diam_1_mm,statut_1,date_2,haut_2_cm,nb_feuil_2,diam_2_mm,statut_2,date_3,haut_3_cm,nb_feuil_3,diam_3_mm,statut_3,date_4,haut_4_cm,nb_feuil_4,diam_4_mm,statut_4
2021-01-25,1,T0,Temoin,plant 1,,,,Mort,2021-02-08,,,,Mort,2021-02-15,,,,Mort,2021-02-22,,,,Mort
2021-01-25,1,T0,Temoin,plant 2,12.00,6,3.60,,2021-02-08,18.00,7,5.00,,2021-02-15,22.00,8,6.10,,2021-02-22,24.50,9,6.48,
2021-01-25,1,T0,Temoin,plant 3,15.00,5,3.00,,2021-02-08,15.00,5,3.00,,2021-02-15,22.00,7,3.30,,2021-02-22,19.00,7,3.30,
2021-01-25,1,T0,Temoin,plant 4,15.00,6,3.54,,2021-02-08,22.50,8,4.52,,2021-02-15,31.00,9,5.00,,2021-02-22,36.50,10,5.30,
2021-01-25,1,T0,Temoin,plant 5,15.50,7,3.00,,2021-02-08,20.50,8,5.00,,2021-02-15,22.50,8,5.00,,2021-02-22,26.00,9,5.00,
2021-01-25,1,T0,Temoin,plant 6,11.00,6,3.54,,2021-02-08,22.50,9,5.30,,2021-02-15,31.50,10,5.50,,2021-02-22,40.00,11,6.10,
2021-01-25,1,T0,Temoin,plant 7,11.50,5,3.34,,2021-02-08,12.00,3,3.54,,2021-02-15,13.00,4,4.00,,2021-02-22,15.50,5,4.09,
2021-01-25,1,T0,Temoin,plant 8,12.00,6,2.56,,2021-02-08,15.50,5,3.20,,2021-02-15,16.50,5,3.50,,2021-02-22,22.00,9,4.10,
2021-01-25,1,T1,Fumier porcs,plant 1,22.00,10,4.40,,2021-02-08,44.00,15,8.00,,2021-02-15,45.50,12,8.00,,2021-02-22,56.00,15,8.24,
2021-01-25,1,T1,Fumier porcs,plant 2,16.00,8,3.54,,2021-02-08,26.00,10,5.20,,2021-02-15,31.50,14,6.00,,2021-02-22,32.00,14,6.00,
2021-01-25,1,T1,Fumier porcs,plant 3,16.00,10,5.30,,2021-02-08,39.50,15,6.70,,2021-02-15,39.00,16,7.00,,2021-02-22,41.00,16,7.00,
2021-01-25,1,T1,Fumier porcs,plant 4,11.00,4,3.58,,2021-02-08,14.50,7,4.30,,2021-02-15,17.00,8,4.00,,2021-02-22,30.50,9,5.00,
2021-01-25,1,T1,Fumier porcs,plant 5,15.00,8,4.52,,2021-02-08,34.50,15,6.00,,2021-02-15,40.00,19,6.00,,2021-02-22,43.00,18,6.48,
2021-01-25,1,T1,Fumier porcs,plant 6,18.00,10,4.40,,2021-02-08,30.00,13,5.00,,2021-02-15,,,,Mort,2021-02-22,,,,Mort
2021-01-25,1,T1,Fumier porcs,plant 7,14.50,8,3.50,,2021-02-08,25.00,9,4.00,,2021-02-15,27.50,9,4.20,,2021-02-22,28.50,6,4.52,
2021-01-25,1,T1,Fumier porcs,plant 8,16.50,9,4.66,,2021-02-08,36.00,11,7.50,,2021-02-15,43.00,21,9.00,,2021-02-22,55.00,20,9.00,
2021-01-25,1,T2,Fumier poulets,plant 1,14.00,7,4.32,,2021-02-08,31.00,12,6.03,,2021-02-15,39.50,13,6.20,,2021-02-22,40.50,14,6.20,
2021-01-25,1,T2,Fumier poulets,plant 2,12.00,6,3.00,,2021-02-08,22.00,8,4.72,,2021-02-15,25.00,10,6.00,,2021-02-22,30.00,10,6.00,
2021-01-25,1,T2,Fumier poulets,plant 3,10.00,6,3.00,,2021-02-08,21.50,9,5.70,,2021-02-15,29.00,14,7.00,,2021-02-22,46.50,19,9.00,
2021-01-25,1,T2,Fumier poulets,plant 4,13.00,7,3.00,,2021-02-08,19.00,8,4.00,,2021-02-15,23.00,10,5.00,,2021-02-22,32.00,20,6.00,
2021-01-25,1,T2,Fumier poulets,plant 5,13.50,8,3.00,,2021-02-08,17.50,7,3.76,,2021-02-15,18.00,7,4.00,,2021-02-22,18.00,6,4.00,
2021-01-25,1,T2,Fumier poulets,plant 6,7.50,4,3.00,,2021-02-08,,,,Mort,2021-02-15,,,,Mort,2021-02-22,,,,Mort
2021-01-25,1,T2,Fumier poulets,plant 7,15.00,7,4.00,,2021-02-08,28.50,9,6.48,,2021-02-15,32.50,11,7.00,,2021-02-22,40.00,12,7.00,
2021-01-25,1,T2,Fumier poulets,plant 8,14.50,5,3.00,,2021-02-08,18.00,6,4.72,,2021-02-15,20.50,8,5.24,,2021-02-22,25.50,11,6.00,
2021-01-25,1,T3,Engrais mineral,plant 1,13.50,5,2.90,,2021-02-08,21.00,8,4.32,,2021-02-15,29.00,10,5.00,,2021-02-22,,,,Mort
2021-01-25,1,T3,Engrais mineral,plant 2,25.00,10,5.60,,2021-02-08,26.50,11,5.60,,2021-02-15,25.00,3,6.00,,2021-02-22,,,,Mort
2021-01-25,1,T3,Engrais mineral,plant 3,17.00,6,4.50,,2021-02-08,35.50,13,5.60,,2021-02-15,39.00,13,8.00,,2021-02-22,40.00,13,8.10,
2021-01-25,1,T3,Engrais mineral,plant 4,24.50,9,4.80,,2021-02-08,44.50,15,7.40,,2021-02-15,47.00,16,7.50,,2021-02-22,47.50,14,7.68,
2021-01-25,1,T3,Engrais mineral,plant 5,,,,Malade,2021-02-08,,,,Malade,2021-02-15,,,,Malade,2021-02-22,,,,Malade
2021-01-25,1,T3,Engrais mineral,plant 6,20.50,9,4.72,,2021-02-08,33.50,12,6.28,,2021-02-15,35.50,11,8.00,,2021-02-22,,,,Fletri
2021-01-25,1,T3,Engrais mineral,plant 7,25.50,8,4.52,,2021-02-08,35.00,12,7.00,,2021-02-15,39.00,7,8.00,,2021-02-22,39.00,7,8.28,
2021-01-25,1,T3,Engrais mineral,plant 8,18.00,8,6.00,,2021-02-08,30.00,10,7.50,,2021-02-15,40.00,11,9.00,,2021-02-22,52.00,17,10.00,
2021-01-25,1,T4,"50% FPorcs,50% Eng. Min.",plant 1,10.00,6,2.76,,2021-02-08,19.00,9,4.20,,2021-02-15,25.00,8,5.00,,2021-02-22,29.00,7,5.20,
2021-01-25,1,T4,"50% FPorcs,50% Eng. Min.",plant 2,14.00,7,4.00,,2021-02-08,37.00,12,5.70,,2021-02-15,42.00,11,7.00,,2021-02-22,44.00,13,8.00,
2021-01-25,1,T4,"50% FPorcs,50% Eng. Min.",plant 3,,,,Mort,2021-02-08,,,,Mort,2021-02-15,,,,Mort,2021-02-22,,,,Mort
2021-01-25,1,T4,"50% FPorcs,50% Eng. Min.",plant 4,36.00,12,6.60,,2021-02-08,43.00,10,8.00,,2021-02-15,44.00,8,10.40,,2021-02-22,,,,Mort
2021-01-25,1,T4,"50% FPorcs,50% Eng. Min.",plant 5,24.00,9,5.00,,2021-02-08,40.00,11,7.30,,2021-02-15,44.50,11,8.00,,2021-02-22,45.00,11,8.00,
2021-01-25,1,T4,"50% FPorcs,50% Eng. Min.",plant 6,22.00,6,4.00,,2021-02-08,30.50,7,5.50,,2021-02-15,35.00,9,7.28,,2021-02-22,38.00,7,8.24,
2021-01-25,1,T4,"50% FPorcs,50% Eng. Min.",plant 7,39.50,14,7.00,,2021-02-08,51.50,14,7.66,,2021-02-15,52.00,14,8.00,,2021-02-22,51.00,13,9.00,
2021-01-25,1,T4,"50% FPorcs,50% Eng. Min.",plant 8,17.50,6,4.00,,2021-02-08,28.50,10,6.00,,2021-02-15,33.00,12,7.00,,2021-02-22,54.50,17,8.30,
2021-01-25,1,T5,"50% FPoulets,50% Eng. Min.",plant 1,11.00,5,2.46,,2021-02-08,20.50,9,4.32,,2021-02-15,28.00,10,6.00,,2021-02-22,29.50,10,6.52,
2021-01-25,1,T5,"50% FPoulets,50% Eng. Min.",plant 2,14.00,6,3.50,,2021-02-08,26.00,9,5.30,,2021-02-15,34.00,11,7.00,,2021-02-22,39.00,11,7.68,
2021-01-25,1,T5,"50% FPoulets,50% Eng. Min.",plant 3,,5,,Mort,2021-02-08,,,,Mort,2021-02-15,,,,Mort,2021-02-22,,,,Mort
2021-01-25,1,T5,"50% FPoulets,50% Eng. Min.",plant 4,13.50,7,3.44,,2021-02-08,28.50,11,5.00,,2021-02-15,35.50,15,6.00,,2021-02-22,41.00,11,6.28,
