id,bloc,traitement,engrais,diam1,diam2,diam3,diam4
1,1,T0,Temoin,3.23,4.22,4.63,4.91
2,1,T1,Fumier porcs,4.24,5.84,6.31,6.61
3,1,T2,Fumier poulets,3.29,5.06,5.78,6.31
4,1,T3,Engrais mineral,4.72,6.24,7.36,8.52
5,1,T4,50% FPorcs + 50% Eng. Min.,4.77,6.34,7.53,7.79
6,1,T5,50% FPoulets + 50% Eng. Min.,3.84,5.65,6.75,7.04
7,2,T0,Temoin,4.93,5.61,6.03,5.96
8,2,T1,Fumier porcs,5.73,7.27,7.35,7.89
9,2,T2,Fumier poulets,4.89,6.35,7.47,7.55
10,2,T3,Engrais mineral,4.89,6.09,6.63,6.83
11,2,T4,50% FPorcs + 50% Eng. Min.,5.09,6.86,7.21,7.88
12,2,T5,50% FPoulets + 50% Eng. Min.,6.28,6.73,7.43,7.9
13,3,T0,Temoin,4.02,4.73,5.19,5.57
14,3,T1,Fumier porcs,4.74,5.55,6.14,6.45
15,3,T2,Fumier poulets,4.68,4.68,5.07,5.63
16,3,T3,Engrais mineral,4.53,6.45,7.29,7.31
17,3,T4,50% FPorcs + 50% Eng. Min.,5.17,6.78,7.1,6.97
18,3,T5,50% FPoulets + 50% Eng. Min.,4.69,6.49,7.07,8.03
19,4,T0,Temoin,3.7,4.51,4.78,4.95
20,4,T1,Fumier porcs,3.76,5.21,5.35,5.8
21,4,T2,Fumier poulets,4.32,5.49,5.77,6.21
22,4,T3,Engrais mineral,4.33,5.51,5.93,6.11
23,4,T4,50% FPorcs + 50% Eng. Min.,4.22,5.21,6.04,6.6
24,4,T5,50% FPoulets + 50% Eng. Min.,4.57,6.25,7.18,7.85
25,5,T0,Temoin,5.59,6.15,6.89,6.62
26,5,T1,Fumier porcs,5.21,6.04,6.28,6.89
27,5,T2,Fumier poulets,4.69,5.96,6.14,6.82
28,5,T3,Engrais mineral,5.15,6.07,6.7,6.93
29,5,T4,50% FPorcs + 50% Eng. Min.,4.86,6.23,7.08,7.63
30,5,T5,50% FPoulets + 50% Eng. Min.,5.1,6.03,6.71,7.52
