temps,engrais,N,feuille,sd,se,ci
21 JAR,Temoin,5,7.274,0.9401489243731549,0.42044738077433663,1.1673490723441398
21 JAR,Fumier porcs,5,8.178,0.5213635967345633,0.2331608886584542,0.6473584080393329
21 JAR,Fumier poulets,5,7.988,1.0582154790022684,0.4732483491783147,1.313948062619068
21 JAR,Engrais mineral,5,8.098,0.45460972272928807,0.20330764865100387,0.5644725259463524
21 JAR,50% FPorcs + 50% Eng. Min.,5,8.44,0.6612110101926615,0.29570255325241945,0.8210019065721699
21 JAR,50% FPoulets + 50% Eng. Min.,5,8.394,0.18942016788082577,0.08471127433818974,0.23519620299133437
35 JAR,Temoin,5,8.37,1.942382557582311,0.8686598874127893,2.4117864924889054
35 JAR,Fumier porcs,5,10.976,0.8469533635330819,0.3787690589264125,1.0516314996566125
35 JAR,Fumier poulets,5,9.124,1.0800370364019933,0.4830072463224544,1.3410431048270435
35 JAR,Engrais mineral,5,10.452,1.5476498311956746,0.6921300455839206,1.921661077221802
35 JAR,50% FPorcs + 50% Eng. Min.,5,11.09,1.3563185466548782,0.6065640938928055,1.6840919094774147
35 JAR,50% FPoulets + 50% Eng. Min.,5,12.042,1.7135693741427571,0.766331520948995,2.1276774002976175
42 JAR,Temoin,5,9.148,1.6150758496120239,0.7222838777101425,2.0053815368316066
42 JAR,Fumier porcs,5,12.218,1.872917510196325,0.8375941738097276,2.325534244016208
42 JAR,Fumier poulets,5,10.758,0.6693056103156465,0.299322568477554,0.8310526801247362
42 JAR,Engrais mineral,5,11.056000000000001,2.1835475721861433,0.9765121607025691,2.711232408748769
42 JAR,50% FPorcs + 50% Eng. Min.,5,12.136,1.709160612698526,0.7643598628918188,2.1222031999356465
42 JAR,50% FPoulets + 50% Eng. Min.,5,11.938,1.8343036826000216,0.8203255451343693,2.277588844457031
49 JAR,Temoin,5,9.792,1.3691676303506448,0.6123103788112692,1.7000461541123548
49 JAR,Fumier porcs,5,12.186,1.9457594918180408,0.870170098314117,2.4159795101537127
49 JAR,Fumier poulets,5,11.424,1.449424023534866,0.6482021289690431,1.7996976281548884
49 JAR,Engrais mineral,5,11.878,1.7989913840816472,0.8045334051485992,2.2337428346929413
49 JAR,50% FPorcs + 50% Eng. Min.,5,12.614,2.471442898389522,1.1052628646616154,3.0687016705466332
49 JAR,50% FPoulets + 50% Eng. Min.,5,12.884,0.5884131201800316,0.26314634711506074,0.7306113873982899
