temps,engrais,N,hauteur,sd,se,ci
21 JAR,Temoin,5,17.12,3.1676568627299257,1.4166192148915668,3.9331654851148317
21 JAR,Fumier porcs,5,18.128,2.6475970237179225,1.1840413844118796,3.2874259061019817
21 JAR,Fumier poulets,5,20.072,5.8107374747100735,2.598640798571438,7.214983525360954
21 JAR,Engrais mineral,5,20.176000000000002,3.7038938969684323,1.6564317070136032,4.598991705032344
21 JAR,50% FPorcs + 50% Eng. Min.,5,20.694,1.7608037937260361,0.7874553955621869,2.186326678570226
21 JAR,50% FPoulets + 50% Eng. Min.,5,19.958,4.6109836260824,2.062094566211744,5.725292364813563
35 JAR,Temoin,5,24.108,4.314524307499032,1.9295139284286082,5.357189501996575
35 JAR,Fumier porcs,5,31.574,2.0436682705370752,0.9139562352760662,2.5375493157972366
35 JAR,Fumier poulets,5,28.84,6.25296329750943,2.796410198808465,7.764079408606952
35 JAR,Engrais mineral,5,32.664,2.4500367344184864,1.0956897371062668,3.0421224074041517
35 JAR,50% FPorcs + 50% Eng. Min.,5,34.226,3.9539069285960684,1.7682409338096432,4.909423885486159
35 JAR,50% FPoulets + 50% Eng. Min.,5,33.456,3.8680589447421823,1.7298485482839243,4.802829534616411
42 JAR,Temoin,5,27.868000000000002,3.275228236321859,1.4647265956484845,4.066732986941262
42 JAR,Fumier porcs,5,35.358000000000004,1.3697518023350064,0.6125716284647859,1.700771499434096
42 JAR,Fumier poulets,5,32.614,6.8014138236105,3.041684730539968,8.445070681662564
42 JAR,Engrais mineral,5,35.488,4.317403154675272,1.9308013880251895,5.360764062891643
42 JAR,50% FPorcs + 50% Eng. Min.,5,37.032,3.978274751698278,1.7791385555936894,4.939680534146771
42 JAR,50% FPoulets + 50% Eng. Min.,5,38.062,2.609457798087564,1.1669850041881427,3.2400698027173953
49 JAR,Temoin,5,32.15,3.9089832437604533,1.7481504511912007,4.853643763359123
49 JAR,Fumier porcs,5,39.574,2.0025184143972314,0.8955534601574605,2.4864550208971283
49 JAR,Fumier poulets,5,36.778,5.319715217941653,2.379048969651529,6.605298866814842
49 JAR,Engrais mineral,5,40.562,4.026601544727265,1.800750954463165,4.9996861731995095
49 JAR,50% FPorcs + 50% Eng. Min.,5,41.094,3.9839590861352976,1.781680667235293,4.946738567570968
49 JAR,50% FPoulets + 50% Eng. Min.,5,42.525999999999996,3.4068944803148806,1.5236095300305783,4.230218221886109
