id,bloc,traitement,engrais,haut1,haut2,haut3,haut4
1,1,T0,Temoin,13.14,18,22.64,26.21
2,1,T1,Fumier porcs,16.13,31.19,34.79,40.86
3,1,T2,Fumier poulets,12.44,22.5,26.79,33.21
4,1,T3,Engrais mineral,20.57,32.29,36.36,44.63
5,1,T4,50% FPorcs + 50% Eng. Min.,23.29,35.64,39.36,43.58
6,1,T5,50% FPoulets + 50% Eng. Min.,16.14,27.29,33.71,36.93
7,2,T0,Temoin,19.69,30.19,31.63,36.3
8,2,T1,Fumier porcs,21.88,33.36,37.5,42.2
9,2,T2,Fumier poulets,23.57,36.14,41.86,43.43
10,2,T3,Engrais mineral,23.86,29.75,28.67,37.1
11,2,T4,50% FPorcs + 50% Eng. Min.,20.56,37.94,42.5,46.63
12,2,T5,50% FPoulets + 50% Eng. Min.,27.43,36.21,39.49,45.29
13,3,T0,Temoin,14.75,23.79,28.71,32.86
14,3,T1,Fumier porcs,16.75,29.38,34.06,39.49
15,3,T2,Fumier poulets,17.38,22.58,26.25,30.58
16,3,T3,Engrais mineral,17,34.21,40.36,44.5
17,3,T4,50% FPorcs + 50% Eng. Min.,18.56,35.36,34.8,37.2
18,3,T5,50% FPoulets + 50% Eng. Min.,17,33.5,39,44.86
19,4,T0,Temoin,20.58,24.25,27.67,30.75
20,4,T1,Fumier porcs,15.94,29.94,34.56,37.38
21,4,T2,Fumier poulets,27.61,33.69,37.31,40.88
22,4,T3,Engrais mineral,23.64,35.93,37.25,40.58
23,4,T4,50% FPorcs + 50% Eng. Min.,19.81,27.5,32.31,37.81
24,4,T5,50% FPoulets + 50% Eng. Min.,21.29,37.21,40.36,43.75
25,5,T0,Temoin,17.44,24.31,28.69,34.63
26,5,T1,Fumier porcs,19.94,34,35.88,37.94
27,5,T2,Fumier poulets,19.36,29.29,30.86,35.79
28,5,T3,Engrais mineral,15.81,31.14,34.8,36
29,5,T4,50% FPorcs + 50% Eng. Min.,21.25,34.69,36.19,40.25
30,5,T5,50% FPoulets + 50% Eng. Min.,17.93,33.07,37.75,41.8
